x,truth_pdf,base_pdf,vem_pdf,ecm_pdf,gem_pdf
-3.097908,0.123991,0.117227,0.117635,0.117227,0.117216
-3.053246,0.126014,0.118789,0.119201,0.118789,0.118779
-3.008583,0.127822,0.120084,0.120497,0.120084,0.120075
-2.963921,0.129408,0.121104,0.121515,0.121104,0.121096
-2.919258,0.130761,0.121842,0.122247,0.121842,0.121836
-2.874596,0.131877,0.122295,0.122690,0.122295,0.122290
-2.829933,0.132749,0.122460,0.122843,0.122460,0.122458
-2.785271,0.133375,0.122340,0.122705,0.122340,0.122339
-2.740608,0.133752,0.121936,0.122281,0.121936,0.121937
-2.695946,0.133880,0.121255,0.121575,0.121255,0.121258
-2.651283,0.133761,0.120303,0.120596,0.120303,0.120309
-2.606621,0.133399,0.119093,0.119354,0.119093,0.119100
-2.561958,0.132799,0.117634,0.117860,0.117634,0.117643
-2.517296,0.131966,0.115943,0.116130,0.115943,0.115954
-2.472633,0.130912,0.114035,0.114181,0.114035,0.114048
-2.427971,0.129644,0.111928,0.112029,0.111928,0.111943
-2.383308,0.128177,0.109642,0.109696,0.109642,0.109659
-2.338646,0.126522,0.107199,0.107203,0.107199,0.107217
-2.293983,0.124696,0.104621,0.104573,0.104621,0.104640
-2.249321,0.122714,0.101931,0.101829,0.101931,0.101952
-2.204658,0.120595,0.099155,0.098997,0.099155,0.099176
-2.159996,0.118357,0.096317,0.096102,0.096317,0.096339
-2.115333,0.116020,0.093443,0.093171,0.093443,0.093466
-2.070671,0.113605,0.090559,0.090228,0.090559,0.090583
-2.026008,0.111134,0.087691,0.087302,0.087691,0.087715
-1.981346,0.108628,0.084866,0.084418,0.084866,0.084889
-1.936683,0.106112,0.082107,0.081601,0.082107,0.082130
-1.892021,0.103607,0.079441,0.078879,0.079441,0.079463
-1.847358,0.101137,0.076891,0.076274,0.076891,0.076913
-1.802696,0.098724,0.074481,0.073810,0.074481,0.074501
-1.758033,0.096392,0.072233,0.071512,0.072233,0.072252
-1.713371,0.094164,0.070168,0.069399,0.070168,0.070185
-1.668708,0.092060,0.068305,0.067492,0.068305,0.068320
-1.624046,0.090102,0.066662,0.065810,0.066662,0.066675
-1.579383,0.088311,0.065256,0.064369,0.065256,0.065267
-1.534721,0.086706,0.064102,0.063185,0.064102,0.064110
-1.490058,0.085304,0.063212,0.062272,0.063212,0.063218
-1.445396,0.084123,0.062598,0.061640,0.062598,0.062602
-1.400733,0.083176,0.062269,0.061300,0.062269,0.062270
-1.356071,0.082478,0.062232,0.061260,0.062232,0.062229
-1.311408,0.082040,0.062491,0.061524,0.062491,0.062486
-1.266746,0.081871,0.063049,0.062096,0.063049,0.063042
-1.222083,0.081978,0.063908,0.062977,0.063908,0.063898
-1.177421,0.082368,0.065066,0.064167,0.065066,0.065054
-1.132759,0.083042,0.066520,0.065661,0.066520,0.066504
-1.088096,0.084001,0.068262,0.067454,0.068262,0.068245
-1.043434,0.085243,0.070287,0.069539,0.070287,0.070267
-0.998771,0.086764,0.072583,0.071906,0.072583,0.072561
-0.954109,0.088556,0.075138,0.074542,0.075138,0.075115
-0.909446,0.090611,0.077939,0.077432,0.077939,0.077915
-0.864784,0.092916,0.080969,0.080562,0.080969,0.080944
-0.820121,0.095458,0.084211,0.083912,0.084211,0.084185
-0.775459,0.098218,0.087644,0.087462,0.087644,0.087617
-0.730796,0.101179,0.091247,0.091190,0.091247,0.091221
-0.686134,0.104319,0.094998,0.095073,0.094998,0.094972
-0.641471,0.107616,0.098872,0.099084,0.098872,0.098846
-0.596809,0.111044,0.102844,0.103198,0.102844,0.102818
-0.552146,0.114577,0.106886,0.107387,0.106886,0.106862
-0.507484,0.118188,0.110972,0.111622,0.110972,0.110949
-0.462821,0.121846,0.115074,0.115873,0.115074,0.115052
-0.418159,0.125524,0.119163,0.120111,0.119163,0.119143
-0.373496,0.129189,0.123210,0.124305,0.123210,0.123192
-0.328834,0.132812,0.127187,0.128426,0.127187,0.127171
-0.284171,0.136362,0.131066,0.132443,0.131066,0.131052
-0.239509,0.139808,0.134818,0.136326,0.134818,0.134807
